file_name,PDF_Component_Names,PDF_Topics
B3-27 - Appendix L Assessment of Greenhouse Gas Emissions from Construction of Bakken Pipeline - A1X1Z4,Appendix L: Assessment  of the Watercource Gas Emissions from Construction of Bakken Pipeline,Water
B3-28 - Appendix M 2010 Soil Survey of Enbridge Bakken Pump Station - A1X1Z5,Appendix M: 2010 Soil Survey of the Bakken Pump Station,Land
B3-28 - Appendix M 2010 Soil Survey of Enbridge Bakken Pump Station - A1X1Z5,Appendix M: 2010 Soil Survey of the Bakken Pump Station,Vegetation
B3-29 - Appendix N Detailed Acoustic Evaluation for Bakken Pump Station_Methods and Results - A1X1Z6,Appendix N: Detailed Acoustic Evaluation for Bakken Pump Station Methods and Results,Wildlife
B3-29 - Appendix N Detailed Acoustic Evaluation for Bakken Pump Station_Methods and Results - A1X1Z6,Appendix N: Detailed Acoustic Evaluation for Bakken Pump Station Methods and Results,Human
B3-30 - Appendix O Heritage Resources Permits and Photographic Plates - A1X1Z7,Appendix O: Heritage  Resources Permits and Photographic Plates,Human
B3-31 - Appendix P Economic Effects of Bakken Pipeline Project Canada - A1X1Z8,Appendix P: Economic Effects of Bakken Pipeline Project Canada,Human
B2-2  Volume 4 - ESA_Main_Part_1_of_5 (A3Q6F8),"Table of Contents, Abbreviations, Section 1: Introduction, Section 2: Project Description, Section 3: Consultation and Engagement, Section 4: Route and Facility Site Selection, Section 5: Assessment Methods and Environmental Setting, Section 6: Soils, Section 7: Vegetation and Wetlands",Land
B2-2  Volume 4 - ESA_Main_Part_1_of_5 (A3Q6F8),"Table of Contents, Abbreviations, Section 1: Introduction, Section 2: Project Description, Section 3: Consultation and Engagement, Section 4: Route and Facility Site Selection, Section 5: Assessment Methods and Environmental Setting, Section 6: Soils, Section 7: Vegetation and Wetlands",Water
B2-2  Volume 4 - ESA_Main_Part_1_of_5 (A3Q6F8),"Table of Contents, Abbreviations, Section 1: Introduction, Section 2: Project Description, Section 3: Consultation and Engagement, Section 4: Route and Facility Site Selection, Section 5: Assessment Methods and Environmental Setting, Section 6: Soils, Section 7: Vegetation and Wetlands",Vegetation
B2-2  Volume 4 - ESA_Main_Part_1_of_5 (A3Q6F8),"Table of Contents, Abbreviations, Section 1: Introduction, Section 2: Project Description, Section 3: Consultation and Engagement, Section 4: Route and Facility Site Selection, Section 5: Assessment Methods and Environmental Setting, Section 6: Soils, Section 7: Vegetation and Wetlands",Traditional Knowledge
B2-3  ESA_Main_Part_2_of_5 ( A3Q6F9 ),"Section 8: Fish, Fish Habitat and Surface Water Quality, Section 9: Wildlife and Wildlife Habitat",Water
B2-3  ESA_Main_Part_2_of_5 ( A3Q6F9 ),"Section 8: Fish, Fish Habitat and Surface Water Quality, Section 9: Wildlife and Wildlife Habitat",Wildlife
B2-4   ESA_Main_Part_3_of_5 (A3Q6G0),"Section 10: Atmospheric Environment, Section 11: Acoustic Environment",Air
B2-4   ESA_Main_Part_3_of_5 (A3Q6G0),"Section 10: Atmospheric Environment, Section 11: Acoustic Environment",Wildlife
B2-4   ESA_Main_Part_3_of_5 (A3Q6G0),"Section 10: Atmospheric Environment, Section 11: Acoustic Environment",Human
B2-5  ESA_Main_Part_4_of_5 (A3Q6G1),"Section 12: Human Occupancy and Resource Use, Section 13: Heritage Resources, Section 14: Traditional Land and Resource Use",Land
B2-5  ESA_Main_Part_4_of_5 (A3Q6G1),"Section 12: Human Occupancy and Resource Use, Section 13: Heritage Resources, Section 14: Traditional Land and Resource Use",Human
B2-5  ESA_Main_Part_4_of_5 (A3Q6G1),"Section 12: Human Occupancy and Resource Use, Section 13: Heritage Resources, Section 14: Traditional Land and Resource Use",Traditional Knowledge
B2-6  ESA_Main_Part_5_of_5 (A3Q6G2),"Section 15: Social and Cultural Wellbeing, Section 16: Human Health, Section 17: Infrastructure and Services, Section 18: Employment and Economy, Section 19: Effects of the Environment on the Project, Section 20: Accidents and Malfunctions, Section 21: Cumulative Effects Assessment, Section 22: Supplemental Reporting",Human
B2-7  Volume 5 - ESA_Appendix_A-B (A3Q6G3),"Appendix A: TERA 2011-2012 Traditional Knowledge Report for the Proposed Nova Gas Transmission Ltd. Groundbirch Mainline (Aitken Creek Section) Project, Appendix B: Traditional Knowledge Literature Review: North Montney Project ",Land
B2-7  Volume 5 - ESA_Appendix_A-B (A3Q6G3),"Appendix A: TERA 2011-2012 Traditional Knowledge Report for the Proposed Nova Gas Transmission Ltd. Groundbirch Mainline (Aitken Creek Section) Project, Appendix B: Traditional Knowledge Literature Review: North Montney Project ",Air
B2-7  Volume 5 - ESA_Appendix_A-B (A3Q6G3),"Appendix A: TERA 2011-2012 Traditional Knowledge Report for the Proposed Nova Gas Transmission Ltd. Groundbirch Mainline (Aitken Creek Section) Project, Appendix B: Traditional Knowledge Literature Review: North Montney Project ",Human
B2-7  Volume 5 - ESA_Appendix_A-B (A3Q6G3),"Appendix A: TERA 2011-2012 Traditional Knowledge Report for the Proposed Nova Gas Transmission Ltd. Groundbirch Mainline (Aitken Creek Section) Project, Appendix B: Traditional Knowledge Literature Review: North Montney Project ",Traditional Knowledge
B2-8  ESA_Appendix_C (A3Q6G4),Appendix C: Wildlife Technical Data Report,Wildlife
B2-8  ESA_Appendix_C (A3Q6G4),Appendix C: Wildlife Technical Data Report,Technology
B2-9  ESA_Appendix_D (A3Q6G5),Appendix D: Aitken and Kahta Paragon Reports (Paragon 2013a and 2013b),other
B2-10  ESA_Appendix_E_Part1of5 (A3Q6G6),Appendix E: TERA Wetlands Survey Results Summary,Land
B2-10  ESA_Appendix_E_Part1of5 (A3Q6G6),Appendix E: TERA Wetlands Survey Results Summary,Water
B2-10  ESA_Appendix_E_Part1of5 (A3Q6G6),Appendix E: TERA Wetlands Survey Results Summary,Vegetation
B2-11  ESA_Appendix_E_Part 2of 5 (A3Q6G7),Appendix E: TERA Wetlands Survey Results Summary,Land
B2-11  ESA_Appendix_E_Part 2of 5 (A3Q6G7),Appendix E: TERA Wetlands Survey Results Summary,Water
B2-11  ESA_Appendix_E_Part 2of 5 (A3Q6G7),Appendix E: TERA Wetlands Survey Results Summary,Vegetation
B2-12  ESA_Appendix_E_Part3of5 (A3Q6G8),Appendix E: TERA Wetlands Survey Results Summary,Land
B2-12  ESA_Appendix_E_Part3of5 (A3Q6G8),Appendix E: TERA Wetlands Survey Results Summary,Water
